"","Name","Department","City","Point_Type","Type","Cost","Period","Quota","Rank","Base_Score","Summary","Latitude","Longitude"
"1","KOÇ ÜNİVERSİTESİ","İngiliz Dili ve Karşılaştırmalı Edebiyat","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","3 + 0",553,511.42297,"İngilizce  Burslu DİL-1 ",41.2053107,29.0724578
"2","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Mütercim-Tercümanlık","ANKARA","DiL","Vakıf","Burslu/İndirimli","Gündüz","5 + 0",1481,486.68412,"İng-Fra-Türkçe  Burslu DİL-1 ",39.8746147,32.7475962
"3","BOĞAZİÇİ ÜNİVERSİTESİ","Çeviribilim","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","60 + 2",1801,480.72585,"İngilizce Ücretsiz DİL-1 ",41.0847571,29.0510399
"4","BOĞAZİÇİ ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","60 + 2",2325,472.15605,"İngilizce Ücretsiz DİL-1 ",41.0847571,29.0510399
"5","BOĞAZİÇİ ÜNİVERSİTESİ","Dilbilim","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","50 + 2",2764,465.67648,"İngilizce Ücretsiz DİL-1 ",41.0847571,29.0510399
"6","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","ANKARA","DiL","Vakıf","Burslu/İndirimli","Gündüz","5 + 0",2883,463.96165,"İngilizce  Burslu DİL-1 ",39.8746147,32.7475962
"7","İZMİR EKONOMİ ÜNİVERSİTESİ","Mütercim-Tercümanlık","İZMİR","DiL","Vakıf","Burslu/İndirimli","Gündüz","5 + 0",2969,462.50798,"İngilizce  Burslu DİL-1 ",38.3882924,27.0450757
"8","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Amerikan Kültürü ve Edebiyatı","ANKARA","DiL","Vakıf","Burslu/İndirimli","Gündüz","4 + 0",3041,461.36184,"İngilizce  Burslu DİL-1 ",39.8746147,32.7475962
"9","BOĞAZİÇİ ÜNİVERSİTESİ","İngilizce Öğretmenliği","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","90 + 3",3318,457.75783,"İngilizce Ücretsiz DİL-1 ",41.0847571,29.0510399
"10","İSTANBUL BİLGİ ÜNİVERSİTESİ","Karşılaştırmalı Edebiyat","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","3 + 0",3434,456.59871,"İngilizce  Burslu DİL-1 ",41.0671816,28.9455079
"11","İSTANBUL BİLGİ ÜNİVERSİTESİ","İngilizce Öğretmenliği","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","4 + 0",3491,455.78815,"İngilizce  Burslu DİL-1 ",41.0671816,28.9455079
"12","YEDİTEPE ÜNİVERSİTESİ","Çeviribilim","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","8 + 0",3493,455.77867,"İngilizce  Burslu DİL-1 ",40.973041,29.152844
"13","GALATASARAY ÜNİVERSİTESİ","Fransız Dili ve Edebiyatı","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","30 + 1",3613,454.59109,"Ücretsiz DİL-1 ",41.0459897,29.0198998
"14","HACETTEPE ÜNİVERSİTESİ","Mütercim-Tercümanlık","ANKARA","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","70 + 2",3617,454.55425,"İngilizce Ücretsiz DİL-1 ",39.8675202,32.734754
"15","ÇANKAYA ÜNİVERSİTESİ","Mütercim-Tercümanlık","ANKARA","DiL","Vakıf","Burslu/İndirimli","Gündüz","5 + 0",3669,453.956,"İngilizce  Burslu DİL-1 ",39.81851,32.56252
"16","YEDİTEPE ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","7 + 0",3671,453.94085,"İngilizce  Burslu DİL-1 ",40.973041,29.152844
"17","YAŞAR ÜNİVERSİTESİ","Mütercim-Tercümanlık","İZMİR","DiL","Vakıf","Burslu/İndirimli","Gündüz","3 + 0",3793,452.73203,"İngilizce  Burslu DİL-1 ",38.4547694,27.2018191
"18","DOĞU AKDENİZ ÜNİVERSİTESİ","Mütercim-Tercümanlık","KKTC-GAZİMAĞUSA","DiL","KKTC","Burslu/İndirimli","Gündüz","3 + 0",3833,452.31793,"İngilizce  Burslu DİL-1 ",35.1423793,33.9116479
"19","İSTANBUL 29 MAYIS ÜNİVERSİTESİ","Mütercim-Tercümanlık","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","4 + 0",3940,451.1258,"İngilizce  Burslu DİL-1 ",41.0337946,29.102576
"20","İSTANBUL ÜNİVERSİTESİ","Mütercim-Tercümanlık","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","50 + 2",4062,449.93689,"İngilizce Ücretsiz DİL-1 ",41.0126037,28.961838
"21","İSTANBUL ŞEHİR ÜNİVERSİTESİ","Mütercim-Tercümanlık","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","4 + 0",4143,449.23494,"İngilizce  Burslu ",40.9050947,29.1561852
"22","ORTA DOĞU TEKNİK ÜNİVERSİTESİ","İngilizce Öğretmenliği","ANKARA","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","100 + 3",4267,448.17719,"İngilizce Ücretsiz DİL-1 ",39.8910203,32.7780027
"23","YAŞAR ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","İZMİR","DiL","Vakıf","Burslu/İndirimli","Gündüz","3 + 0",4382,447.1959,"İngilizce  Burslu DİL-1 ",38.4547694,27.2018191
"24","İSTANBUL 29 MAYIS ÜNİVERSİTESİ","Mütercim-Tercümanlık","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","3 + 0",4414,446.68686,"Arapça  Burslu DİL-3 ",41.0337946,29.102576
"25","BAHÇEŞEHİR ÜNİVERSİTESİ","İngilizce Öğretmenliği","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","7 + 0",4495,445.96706,"İngilizce  Burslu DİL-1 ",41.042165,29.0092591
"26","MARMARA ÜNİVERSİTESİ","Mütercim-Tercümanlık","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","50 + 2",4617,444.89842,"İngilizce Ücretsiz DİL-1 ",40.9870259,29.0528132
"27","İSTANBUL OKAN ÜNİVERSİTESİ","Mütercim-Tercümanlık","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","3 + 0",4711,444.06769,"Çince  Burslu DİL-3 ",40.951848,29.3921173
"28","İSTANBUL OKAN ÜNİVERSİTESİ","Mütercim-Tercümanlık","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","3 + 0",4832,443.0957,"İngilizce  Burslu DİL-1 ",40.951848,29.3921173
"29","YEDİTEPE ÜNİVERSİTESİ","İngilizce Öğretmenliği","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","7 + 0",5009,441.57546,"İngilizce  Burslu DİL-1 ",40.973041,29.152844
"30","ORTA DOĞU TEKNİK ÜNİVERSİTESİ","İngilizce Öğretmenliği","ANKARA","DiL","Devlet","%50 İndirimli","Gündüz","1 + 0",5087,440.94468,"İngilizce  UOLP-SUNY New Paltz  %50 İndirimli DİL-1 ",39.8910203,32.7780027
"31","EGE ÜNİVERSİTESİ","Mütercim-Tercümanlık","İZMİR","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","70 + 2",5099,440.85338,"İngilizce Ücretsiz DİL-1 ",38.4566857,27.2265764
"32","HACETTEPE ÜNİVERSİTESİ","İngilizce Öğretmenliği","ANKARA","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","100 + 3",5356,438.65815,"İngilizce Ücretsiz DİL-1 ",39.8675202,32.734754
"33","KOÇ ÜNİVERSİTESİ","İngiliz Dili ve Karşılaştırmalı Edebiyat","İSTANBUL","DiL","Vakıf","%50 İndirimli","Gündüz","3 + 0",5909,434.64576,"İngilizce  %50 İndirimli DİL-1 ",41.2053107,29.0724578
"34","DOKUZ EYLÜL ÜNİVERSİTESİ","Mütercim-Tercümanlık","İZMİR","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","60 + 2",5942,434.36575,"İngilizce Ücretsiz DİL-1 ",38.4306911,27.1369201
"35","ATILIM ÜNİVERSİTESİ","Mütercim-Tercümanlık","ANKARA","DiL","Vakıf","Burslu/İndirimli","Gündüz","4 + 0",6011,433.79589,"İngilizce  Burslu DİL-1 ",39.8159752,32.7244407
"36","İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA","İngilizce Öğretmenliği","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","60 + 2",6130,432.97351,"İngilizce Ücretsiz ",41.0056004,28.9403548
"37","HACETTEPE ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","ANKARA","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","90 + 3",6147,432.89794,"İngilizce Ücretsiz DİL-1 ",39.8675202,32.734754
"38","BEYKENT ÜNİVERSİTESİ","Mütercim-Tercümanlık","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","7 + 0",6157,432.83195,"İngilizce  Burslu DİL-1 ",41.1173086,29.0036006
"39","BAŞKENT ÜNİVERSİTESİ","Mütercim-Tercümanlık","ANKARA","DiL","Vakıf","Burslu/İndirimli","Gündüz","3 + 0",6325,431.71658,"İngilizce  Burslu DİL-1 ",39.8876842,32.6543665
"40","TED ÜNİVERSİTESİ","İngilizce Öğretmenliği","ANKARA","DiL","Vakıf","Burslu/İndirimli","Gündüz","7 + 0",6397,431.29668,"İngilizce  Burslu DİL-1 ",39.923257,32.861673
"41","İSTANBUL ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","90 + 3",6470,430.74327,"İngilizce Ücretsiz DİL-1 ",41.0126037,28.961838
"42","MEF ÜNİVERSİTESİ","İngilizce Öğretmenliği","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","5 + 0",6482,430.71088,"İngilizce  Burslu DİL-1 ",41.1088445,29.0085964
"43","ULUSLARARASI SARAYBOSNA ÜNİVERSİTESİ","İngilizce Öğretmenliği","SARAYBOSNA-BOSNA-HERSEK","DiL","Yabancı","Burslu/İndirimli","Gündüz","1 + 0",6671,429.28817,"Burslu DİL-1 ",43.821747,18.309177
"44","MARMARA ÜNİVERSİTESİ","İngilizce Öğretmenliği","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","100 + 3",6914,427.59092,"İngilizce Ücretsiz DİL-1 ",40.9870259,29.0528132
"45","İSTANBUL ŞEHİR ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","4 + 0",7037,426.8508,"İngilizce  Burslu ",40.9050947,29.1561852
"46","TED ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","ANKARA","DiL","Vakıf","Burslu/İndirimli","Gündüz","5 + 0",7066,426.69228,"İngilizce  Burslu ",39.923257,32.861673
"47","YILDIZ TEKNİK ÜNİVERSİTESİ","İngilizce Öğretmenliği","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","60 + 2",7091,426.54943,"Ücretsiz DİL-1 ",41.0520861,29.0106553
"48","ÇANKAYA ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","ANKARA","DiL","Vakıf","Burslu/İndirimli","Gündüz","5 + 0",7227,425.68414,"İngilizce  Burslu DİL-1 ",39.81851,32.56252
"49","HALİÇ ÜNİVERSİTESİ","Mütercim-Tercümanlık","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","6 + 0",7252,425.54903,"İngilizce  Burslu DİL-1 ",41.056168,28.950822
"50","YAŞAR ÜNİVERSİTESİ","Turizm Rehberliği(Yüksekokul)","İZMİR","DiL","Vakıf","Burslu/İndirimli","Gündüz","3 + 0",7292,425.26638,"İngilizce  Burslu DİL-1 ",38.4547694,27.2018191
"51","İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ","Mütercim-Tercümanlık","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","4 + 0",7305,425.21453,"İngilizce  Burslu DİL-1 ",41.0163922,28.9066097
"52","İSTANBUL AYDIN ÜNİVERSİTESİ","Mütercim-Tercümanlık","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","7 + 0",7382,424.61753,"İngilizce  Burslu DİL-1 ",40.9919149,28.7975316
"53","EGE ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","İZMİR","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","80 + 2",7407,424.47128,"İngilizce Ücretsiz DİL-1 ",38.4566857,27.2265764
"54","DOKUZ EYLÜL ÜNİVERSİTESİ","İngilizce Öğretmenliği","İZMİR","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","100 + 3",7543,423.59094,"İngilizce Ücretsiz DİL-1 ",38.4306911,27.1369201
"55","İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ","İngilizce Öğretmenliği","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","4 + 0",7874,421.63495,"Burslu DİL-1 ",41.033234,28.7889547
"56","GAZİ ÜNİVERSİTESİ","İngilizce Öğretmenliği","ANKARA","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","130 + 4",7990,420.9419,"Ücretsiz DİL-1 ",39.9420219,32.823005
"57","HACETTEPE ÜNİVERSİTESİ","Amerikan Kültürü ve Edebiyatı","ANKARA","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","80 + 2",8174,419.73481,"İngilizce Ücretsiz DİL-1 ",39.8675202,32.734754
"58","İSTANBUL AREL ÜNİVERSİTESİ","Mütercim-Tercümanlık","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","4 + 0",8247,419.32772,"İngilizce  Burslu DİL-1 ",41.055194,28.500315
"59","İSTANBUL KÜLTÜR ÜNİVERSİTESİ","İngilizce Öğretmenliği","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","7 + 0",8266,419.24015,"Burslu DİL-1 ",40.9912928,28.8321354
"60","İSTANBUL ÜNİVERSİTESİ","Amerikan Kültürü ve Edebiyatı","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","80 + 2",8309,418.99618,"İngilizce Ücretsiz DİL-1 ",41.0126037,28.961838
"61","İSTANBUL OKAN ÜNİVERSİTESİ","İngilizce Öğretmenliği","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","4 + 0",8323,418.94381,"Burslu DİL-1 ",40.951848,29.3921173
"62","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Mütercim-Tercümanlık","ANKARA","DiL","Vakıf","%50 İndirimli","Gündüz","45 + 0",8351,418.78988,"İng-Fra-Türkçe  %50 İndirimli DİL-1 ",39.8746147,32.7475962
"63","İSTANBUL KÜLTÜR ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","6 + 0",8380,418.6519,"İngilizce  Burslu DİL-1 ",40.9912928,28.8321354
"64","HACETTEPE ÜNİVERSİTESİ","İngiliz Dil Bilimi","ANKARA","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","60 + 2",8422,418.47251,"İngilizce Ücretsiz DİL-1 ",39.8675202,32.734754
"65","BAŞKENT ÜNİVERSİTESİ","İngilizce Öğretmenliği","ANKARA","DiL","Vakıf","Burslu/İndirimli","Gündüz","5 + 0",8512,417.97777,"Burslu DİL-1 ",39.8876842,32.6543665
"66","YAŞAR ÜNİVERSİTESİ","Mütercim-Tercümanlık","İZMİR","DiL","Vakıf","%50 İndirimli","Gündüz","5 + 0",8658,417.07872,"İngilizce  %50 İndirimli DİL-1 ",38.4547694,27.2018191
"67","BEYKENT ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","7 + 0",8692,416.96732,"Burslu DİL-1 ",41.1173086,29.0036006
"68","İSTANBUL BİLGİ ÜNİVERSİTESİ","Karşılaştırmalı Edebiyat","İSTANBUL","DiL","Vakıf","%75 İndirimli","Gündüz","9 + 0",8719,416.78061,"İngilizce  %75 İndirimli DİL-1 ",41.0671816,28.9455079
"69","ANADOLU ÜNİVERSİTESİ","İngilizce Öğretmenliği","ESKİŞEHİR","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","160 + 4",8769,416.52274,"Ücretsiz DİL-1 ",39.7912871,30.4991884
"70","ANKARA ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","ANKARA","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","50 + 2",8814,416.30019,"Ücretsiz DİL-1 ",39.934855,32.8338615
"71","İSTANBUL MEDİPOL ÜNİVERSİTESİ","İngilizce Öğretmenliği","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","7 + 0",8835,416.20737,"İngilizce  Burslu DİL-1 ",41.088498,29.088595
"72","İSTANBUL OKAN ÜNİVERSİTESİ","Mütercim-Tercümanlık","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","3 + 0",9073,414.66601,"Rusça  Burslu DİL-3 ",40.951848,29.3921173
"73","ORTA DOĞU TEKNİK ÜNİVERSİTESİ","İngilizce Öğretmenliği","ANKARA","DiL","Devlet","Burslu/İndirimli","Gündüz","5 + 0",9107,414.4055,"İngilizce  Burslu DİL-1 ",39.8910203,32.7780027
"74","EGE ÜNİVERSİTESİ","Amerikan Kültürü ve Edebiyatı","İZMİR","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","60 + 2",9220,413.69045,"İngilizce Ücretsiz DİL-1 ",38.4566857,27.2265764
"75","MALTEPE ÜNİVERSİTESİ","İngilizce Öğretmenliği","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","6 + 0",9235,413.61136,"İngilizce  Burslu DİL-1 ",40.9581654,29.1889949
"76","İSTANBUL AYDIN ÜNİVERSİTESİ","İngilizce Öğretmenliği","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","6 + 0",9257,413.48696,"İngilizce  Burslu DİL-1 ",40.9919149,28.7975316
"77","İSTANBUL ÜNİVERSİTESİ","İspanyol Dili ve Edebiyatı","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","50 + 2",9335,413.05397,"Ücretsiz DİL-2 ",41.0126037,28.961838
"78","AKDENİZ ÜNİVERSİTESİ","İngilizce Öğretmenliği","ANTALYA","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","70 + 2",9384,412.68142,"Ücretsiz DİL-1 ",36.8945335,30.655353
"79","İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","3 + 0",9394,412.64078,"İngilizce  Burslu DİL-1 ",41.0163922,28.9066097
"80","ANKARA ÜNİVERSİTESİ","Amerikan Kültürü ve Edebiyatı","ANKARA","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","30 + 1",9398,412.62093,"Ücretsiz DİL-1 ",39.934855,32.8338615
"81","İSTANBUL AYDIN ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","5 + 0",9521,411.9749,"İngilizce  Burslu DİL-1 ",40.9919149,28.7975316
"82","BAŞKENT ÜNİVERSİTESİ","Amerikan Kültürü ve Edebiyatı","ANKARA","DiL","Vakıf","Burslu/İndirimli","Gündüz","4 + 0",9615,411.49156,"Burslu DİL-1 ",39.8876842,32.6543665
"83","ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ","İngilizce Öğretmenliği","ESKİŞEHİR","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","60 + 2",9732,410.83347,"Ücretsiz DİL-1 ",39.7516856,30.4900218
"84","İZMİR EKONOMİ ÜNİVERSİTESİ","Mütercim-Tercümanlık","İZMİR","DiL","Vakıf","%50 İndirimli","Gündüz","5 + 0",10059,409.07321,"İngilizce  %50 İndirimli DİL-1 ",38.3882924,27.0450757
"85","BİRUNİ ÜNİVERSİTESİ","İngilizce Öğretmenliği","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","4 + 0",10095,408.90851,"Burslu ",41.0036148,28.920199
"86","İSTANBUL MEDENİYET ÜNİVERSİTESİ","İngilizce Öğretmenliği","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","60 + 2",10208,408.29884,"Ücretsiz DİL-1 ",40.9953129,29.0645701
"87","ATILIM ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","ANKARA","DiL","Vakıf","Burslu/İndirimli","Gündüz","3 + 0",10325,407.68508,"İngilizce  Burslu DİL-1 ",39.8159752,32.7244407
"88","İSTANBUL ÜNİVERSİTESİ","Kore Dili ve Edebiyatı","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","20 + 1",10497,406.67222,"Korece Ücretsiz DİL-3 ",41.0126037,28.961838
"89","BURSA ULUDAĞ ÜNİVERSİTESİ","İngilizce Öğretmenliği","BURSA","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","140 + 4",10567,406.22452,"Ücretsiz DİL-1 ",40.2309213,28.8722274
"90","DOĞUŞ ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","7 + 0",10637,405.86857,"İngilizce  Burslu DİL-1 ",41.0002029,29.0473255
"91","HACETTEPE ÜNİVERSİTESİ","Mütercim-Tercümanlık","ANKARA","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","60 + 2",10658,405.7537,"Almanca Ücretsiz DİL-1 ",39.8675202,32.734754
"92","DOKUZ EYLÜL ÜNİVERSİTESİ","Amerikan Kültürü ve Edebiyatı","İZMİR","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","80 + 2",10987,403.97323,"İngilizce Ücretsiz DİL-1 ",38.4306911,27.1369201
"93","İSTANBUL ÜNİVERSİTESİ","Çin Dili ve Edebiyatı","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","40 + 1",11037,403.66759,"Çince Ücretsiz DİL-3 ",41.0126037,28.961838
"94","İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ","Mütercim-Tercümanlık","İSTANBUL","DiL","Vakıf","%75 İndirimli","Gündüz","7 + 0",11077,403.51609,"İngilizce  %75 İndirimli DİL-1 ",41.0163922,28.9066097
"95","MARMARA ÜNİVERSİTESİ","Mütercim-Tercümanlık","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","50 + 2",11244,402.62259,"Almanca Ücretsiz DİL-1 ",40.9870259,29.0528132
"96","HACETTEPE ÜNİVERSİTESİ","Mütercim-Tercümanlık","ANKARA","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","62 + 2",11390,401.9926,"Fransızca Ücretsiz DİL-1 ",39.8675202,32.734754
"97","UFUK ÜNİVERSİTESİ","İngilizce Öğretmenliği","ANKARA","DiL","Vakıf","Burslu/İndirimli","Gündüz","6 + 0",11393,401.96365,"Burslu DİL-1 ",39.8266112,32.7296283
"98","TRAKYA ÜNİVERSİTESİ","Mütercim-Tercümanlık","EDİRNE","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","60 + 2",11395,401.9627,"İngilizce Ücretsiz DİL-1 ",41.6412642,26.615635
"99","ANKARA ÜNİVERSİTESİ","Japon Dili ve Edebiyatı","ANKARA","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","40 + 1",11474,401.55971,"Ücretsiz DİL-3 ",39.934855,32.8338615
"100","KOCAELİ ÜNİVERSİTESİ","İngilizce Öğretmenliği","KOCAELİ","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","70 + 2",11476,401.55714,"Ücretsiz DİL-1 ",40.8223347,29.9217153
"101","ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","ANKARA","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","40 + 1",11598,401.0029,"İngilizce Ücretsiz DİL-1 ",39.9427316,32.8564133
"102","HALİÇ ÜNİVERSİTESİ","Amerikan Kültürü ve Edebiyatı","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","6 + 0",11657,400.74334,"Burslu DİL-1 ",41.056168,28.950822
"103","ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","İngilizce Öğretmenliği","ÇANAKKALE","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","100 + 3",11690,400.60206,"Ücretsiz DİL-1 ",40.1118946,26.4159959
"104","İSTANBUL GELİŞİM ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","6 + 0",11772,400.08556,"İngilizce  Burslu DİL-1 ",40.9979914,28.698926
"105","ANKARA ÜNİVERSİTESİ","İspanyol Dili ve Edebiyatı","ANKARA","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","30 + 1",11817,399.88237,"İspanyolca Ücretsiz DİL-2 ",39.934855,32.8338615
"106","AKDENİZ ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","ANTALYA","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","60 + 2",11990,398.9246,"İngilizce Ücretsiz DİL-1 ",36.8945335,30.655353
"107","İSTANBUL ÜNİVERSİTESİ","Dilbilimi","İSTANBUL","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","50 + 2",12031,398.76406,"Ücretsiz DİL-1 ",41.0126037,28.961838
"108","ONDOKUZ MAYIS ÜNİVERSİTESİ","İngilizce Öğretmenliği","SAMSUN","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","65 + 2",12069,398.5583,"Ücretsiz DİL-1 ",41.3672196,36.1984655
"109","ULUSLARARASI SARAYBOSNA ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","SARAYBOSNA-BOSNA-HERSEK","DiL","Yabancı","Burslu/İndirimli","Gündüz","1 + 0",12382,396.93615,"Burslu DİL-1 ",43.821747,18.309177
"110","BALIKESİR ÜNİVERSİTESİ","İngilizce Öğretmenliği","BALIKESİR","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","50 + 2",12419,396.78135,"Ücretsiz DİL-1 ",39.541071,28.008696
"111","İSTİNYE ÜNİVERSİTESİ","İngiliz Dili ve Edebiyatı","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","6 + 0",12436,396.69883,"İngilizce  Burslu ",41.014532,28.905044
"112","İZMİR DEMOKRASİ ÜNİVERSİTESİ","İngilizce Öğretmenliği","İZMİR","DiL","Devlet","Ücretsiz/Ücretli","Gündüz","60 + 2",12450,396.65578,"İngilizce Ücretsiz ",38.3937715,27.0737345
"113","İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ","Arapça Öğretmenliği","İSTANBUL","DiL","Vakıf","Burslu/İndirimli","Gündüz","7 + 0",12473,396.55671,"Burslu DİL-3 ",41.033234,28.7889547
"114","İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ","İngilizce Öğretmenliği","İSTANBUL","DiL","Vakıf","%75 İndirimli","Gündüz","12 + 0",12568,396.07736,"%75 İndirimli DİL-1 ",41.033234,28.7889547
